Username,Date,Text,Geo,Hashtags,,,,
 +HeidiAGould,1/31/17 18:59,We made history at #womensmarch . Now itâ€™s time to make our voices heard. First up: send a postcard to your Senators https://www. womensmarch.com/100?source=twi tter& â€_,,#womensmarch,,,,
 +Gravit80,1/31/17 18:59,ROFL! #WomensMarch https:// twitter.com/ElaineAtwell/s tatus/826533264873631746 â€_,Mississippi Gulf Coast,#WomensMarch,,,,
 +A_Big_Hell_NO,1/31/17 18:59,"I love listening to white men whine like pussies about women, especially when they're all at the #womensmarch outnumbering them!! https:// twitter.com/LawyerRogelio/ status/826542733179420675 â€_","Denver, CO",#womensmarch,,,,
 +nmp_wear,1/31/17 18:58,"Steve Bannon: Unelected, Unvetted, Uncomfirmed #realDonaldTrump #Resist #NotMyPresident #AntiTrump #USA #WomensMarch #MuslimBan #NoWallNoBan",,#realDonaldTrump #Resist #NotMyPresident #AntiTrump #USA #WomensMarch #MuslimBan #NoWallNoBan,,,,
 +RedDawn329,1/31/17 18:58,@MaddowBlog wow! We might just reach the 4-5million from the #WomensMarch,"Arizona, USA",#WomensMarch,,,,
 +BlueChalkMedia,1/31/17 18:57,7 students captured #360video of the inaugaration & #WomensMarch for @nytimes & @npr â€”here's how they did it http:// bit.ly/2kdCRtv,"Brooklyn, NY and Portland, OR",#360video #WomensMarch,,,,
 +jauregui20L75H3,1/31/17 18:57,@Laurenjauregui @womensmarch #WomensMarch #WhyWeMarch #whyIMarch #NoDAPL #NoKXL #WaterIsLife #DonaldTrump #NotMyPresident #LoveTrumpsHate https:// twitter.com/LMJupdates/sta tus/826561254626099201 â€_,The World,#WomensMarch #WhyWeMarch #whyIMarch #NoDAPL #NoKXL #WaterIsLife #DonaldTrump #NotMyPresident #LoveTrumpsHate,,,,
 +dianeroznowski,1/31/17 18:57,When you tell your friend who proposed to @jonlovett at the #womensmarch that you finally started listening to @podsaveamerica pic.twitter.com/4mYF8f0fCd,"Washington, DC",#womensmarch,,,,
 +wedfavorstore,1/31/17 18:57,The latest The WFS Daily! http:// paper.li/wedfavorstore/ 1407715086?edition_id=0c62abe0-e811-11e6-9e2c-0cc47a0d164b â€_ #womensmarch #sponsored,Online,#womensmarch #sponsored,,,,
 +LibrarianJak,1/31/17 18:57,Writing and sending postcards to our senators and congressmen tonight. #womensmarch #whyimarch #womensrightsarehumanrights pic.twitter.com/aBYjs1QGC0,"Syracuse, NY",#womensmarch #whyimarch #womensrightsarehumanrights,,,,
 +Fred_Vega,1/31/17 18:56,Putin and/or Bannon's puppet #IgnorancePrevails #PeopleYouBeenDuped #PresidentBannon #WomensMarch #MuslimBan #NoBanNoWall #Repost pic.twitter.com/gbHpa9iU6L,"Orange, California, USA",#IgnorancePrevails #PeopleYouBeenDuped #PresidentBannon #WomensMarch #MuslimBan #NoBanNoWall #Repost,,,,
 +DickensRick,1/31/17 18:56,#DemForce #theresistence #MuslimBan #WomensMarch pic.twitter.com/gvXLl5Yt6X,,#DemForce #theresistence #MuslimBan #WomensMarch,,,,
 +WentRogue,1/31/17 18:56,Welcome sight in my mailbox tonight: look at that New Yorker cover by @GrayDayShop #WomensMarch pic.twitter.com/IrpaZsGw4O,Texas ex on the Midwest tundra,#WomensMarch,,,,
 +VTA,1/31/17 18:56,"Took light rail to the #womensmarch ."" via @studiomouth Thanks to the 15","000 others who didâ€_ https://www. instagram.com/p/BP8q2PgBpdt/""","ÃœT: 37.398022,-121.938277",#womensmarch,,,
 +HeintjeC123,1/31/17 18:55,Contribute to the world. Donate to @aclu . Don't wait. #resist #RESISTANCE #lovewins #WomensMarch #Refugees #Equality,The planet,#resist #RESISTANCE #lovewins #WomensMarch #Refugees #Equality,,,,
 +Quark_Trek9,1/31/17 18:55,#theresistance #starfleet #notmypresident #impeachtrump #impeachmentSoon #NoBanNoWall #WomensMarch #ScienceMarch https:// twitter.com/JebSanford/sta tus/826440381160099840 â€_,"New York, USA",#theresistance #starfleet #notmypresident #impeachtrump #impeachmentSoon #NoBanNoWall #WomensMarch #ScienceMarch,,,,
 +nora_loehle,1/31/17 18:55,We don't stop #standuptotrump for freedom&climate. After #WomensMarch we do #ClimateMarch : 29 April #PeoplesClimate http://www. peoplesclimate.org,Washington DC,#standuptotrump #WomensMarch #ClimateMarch #PeoplesClimate,,,,
 +dkipp1353,1/31/17 18:55,"Probably got run over by the #Womensmarch or #BlockSessionsmarch . Oh, same thing.","Virginia, USA",#Womensmarch #BlockSessionsmarch,,,,
 +DGSpeaks,1/31/17 18:55,RT NationalNOW: .Terryoneill talks #WomensMarch and Equal Rights Amendment with HuffingtonPost & RYOT-- check it out! https://t.co/OCd0â€_,"38.950145,-77.020466",#WomensMarch,,,,
 +27kinds,1/31/17 18:55,"I sent mine in, now it's your turn. Why did you march? 2-4 sentences... go! #womensmarch https:// twitter.com/thehighsign/st atus/826263104149413892 â€_","Los Angeles, CA",#womensmarch,,,,
 +I3LACKIRISH,1/31/17 18:54,"#WomensMarch So besides the crazy ramblings of @Madonna & @AshleyJudd , there's @lsarsour (a terrorist) & @DonnaHylton (a murderer/torturer). https:// twitter.com/pamnsc/status/ 824831989219999744 â€_",,#WomensMarch,,,,
